name,publication,keywords
Julie Beck,The Atlantic,"dating apps; dating app fatigue; modern dating culture"
Lora Kelley,The Atlantic,"swiping culture; dating apps; relationships"
Allie Volpe,Vox,"dating culture; single life; relationships trends"
John Herrman,New York Magazine (Intelligencer),"dating apps; internet culture; platform behavior"
Reece Rogers,WIRED,"AI dating; dating apps; generative AI; digital intimacy"
Johanna Costigan,WIRED,"AI boyfriend; chatbots; digital romance; companionship"
Megan Farokhmanesh,WIRED,"AI companions; relationship tech; intimacy; culture"
Olivia Morelli,Condé Nast Traveler,"solo travel; travel trends; independent travel"
Rachel Chang,Travel + Leisure,"solo travel; travel trends; destinations"
Elaine Glusac,The New York Times,"solo travel; budget travel; travel trends"
